site_id,month,adopts,wait_minutes
Clinic 07,24,1,36.9
Clinic 08,1,1,48.4
Clinic 08,2,1,45.7
Clinic 08,3,1,47.4
Clinic 08,4,1,46.7
Clinic 08,5,1,46.2
Clinic 08,6,1,51.4
Clinic 08,7,1,44.8
Clinic 08,8,1,49.5
Clinic 08,9,1,45.6
Clinic 08,10,1,45.2
Clinic 08,11,1,46.3
Clinic 08,12,1,45.1
Clinic 08,13,1,44.3
Clinic 08,14,1,43.9
Clinic 08,15,1,42.3
Clinic 08,16,1,42.9
Clinic 08,17,1,41.7
Clinic 08,18,1,42.2
Clinic 08,19,1,40.2
Clinic 08,20,1,37.7
Clinic 08,21,1,40
Clinic 08,22,1,34.7
Clinic 08,23,1,40.1
Clinic 08,24,1,37.4
Clinic 09,1,0,44.5
Clinic 09,2,0,44.6
Clinic 09,3,0,48
Clinic 09,4,0,47.1
Clinic 09,5,0,45.7
Clinic 09,6,0,43.9
Clinic 09,7,0,43.5
Clinic 09,8,0,38.7
Clinic 09,9,0,42.1
Clinic 09,10,0,40.6
Clinic 09,11,0,41.2
Clinic 09,12,0,42.6
Clinic 09,13,0,45.5
Clinic 09,14,0,45.2
Clinic 09,15,0,44.2
Clinic 09,16,0,45.5
Clinic 09,17,0,42.8
Clinic 09,18,0,36.9
Clinic 09,19,0,40.3
Clinic 09,20,0,39.8
Clinic 09,21,0,39.4
Clinic 09,22,0,37.9
Clinic 09,23,0,44.4
Clinic 09,24,0,46.9
Clinic 10,1,0,46.6
Clinic 10,2,0,48.8
Clinic 10,3,0,44.2
Clinic 10,4,0,41.9
Clinic 10,5,0,44.7
Clinic 10,6,0,39
Clinic 10,7,0,46.6
Clinic 10,8,0,45.1
Clinic 10,9,0,38.1
Clinic 10,10,0,42.9
Clinic 10,11,0,42.9
Clinic 10,12,0,40.9
Clinic 10,13,0,44.6
Clinic 10,14,0,45.7
Clinic 10,15,0,42.1
Clinic 10,16,0,46.3
Clinic 10,17,0,46.3
Clinic 10,18,0,41.7
Clinic 10,19,0,39.8
Clinic 10,20,0,40.8
Clinic 10,21,0,39.6
Clinic 10,22,0,39.6
Clinic 10,23,0,36.8
Clinic 10,24,0,44.9
Clinic 11,1,0,40.5
Clinic 11,2,0,37
Clinic 11,3,0,40.7
Clinic 11,4,0,40.3
Clinic 11,5,0,37.4
Clinic 11,6,0,32.4
Clinic 11,7,0,34.1
Clinic 11,8,0,32.9
Clinic 11,9,0,37
Clinic 11,10,0,36.9
Clinic 11,11,0,37.3
Clinic 11,12,0,32.9
Clinic 11,13,0,34.8
Clinic 11,14,0,36.5
Clinic 11,15,0,37
Clinic 11,16,0,38.7
Clinic 11,17,0,39.3
Clinic 11,18,0,34.5
Clinic 11,19,0,37.6
Clinic 11,20,0,32
Clinic 11,21,0,35.6
Clinic 11,22,0,30.7
Clinic 11,23,0,36.8
Clinic 11,24,0,41.7
Clinic 12,1,0,39.1
Clinic 12,2,0,45.8
Clinic 12,3,0,45.1
Clinic 12,4,0,43.3
Clinic 12,5,0,40
Clinic 12,6,0,37.7
Clinic 12,7,0,38.9
Clinic 12,8,0,35.6
Clinic 12,9,0,39.1
Clinic 12,10,0,29.8
Clinic 12,11,0,34.4
Clinic 12,12,0,37.8
Clinic 12,13,0,41.3
Clinic 12,14,0,43.8
Clinic 12,15,0,40.5
Clinic 12,16,0,42.1
Clinic 12,17,0,38.4
Clinic 12,18,0,41.9
Clinic 12,19,0,39.3
Clinic 12,20,0,37.1
Clinic 12,21,0,36.5
Clinic 12,22,0,38.9
Clinic 12,23,0,39.5
Clinic 12,24,0,36.3
Clinic 13,1,0,35.8
Clinic 13,2,0,37.4
Clinic 13,3,0,41.6
Clinic 13,4,0,38.8
Clinic 13,5,0,30.6
Clinic 13,6,0,35.4
Clinic 13,7,0,34.7
Clinic 13,8,0,29.4
Clinic 13,9,0,30.8
Clinic 13,10,0,31.4
Clinic 13,11,0,32.1
Clinic 13,12,0,34.4
Clinic 13,13,0,39.8
Clinic 13,14,0,33.7
Clinic 13,15,0,37.1
Clinic 13,16,0,33.3
Clinic 13,17,0,34.8
Clinic 13,18,0,36
Clinic 13,19,0,30.1
Clinic 13,20,0,30.9
Clinic 13,21,0,32.7
Clinic 13,22,0,30.1
Clinic 13,23,0,28.2
Clinic 13,24,0,30.1
Clinic 14,1,0,39.3
Clinic 14,2,0,41.8
Clinic 14,3,0,41.7
Clinic 14,4,0,42.5
Clinic 14,5,0,39.8
Clinic 14,6,0,40.5
Clinic 14,7,0,39.4
Clinic 14,8,0,37.4
Clinic 14,9,0,36.9
Clinic 14,10,0,33.6
Clinic 14,11,0,39.4
Clinic 14,12,0,40.7
Clinic 14,13,0,39.5
Clinic 14,14,0,44.8
Clinic 14,15,0,42.6
Clinic 14,16,0,43.9
Clinic 14,17,0,42.9
Clinic 14,18,0,38
Clinic 14,19,0,35.8
Clinic 14,20,0,34.6
Clinic 14,21,0,34.2
Clinic 14,22,0,39.6
Clinic 14,23,0,38.1
Clinic 14,24,0,40.7
Clinic 15,1,0,34.4
Clinic 15,2,0,39.3
Clinic 15,3,0,42.1
Clinic 15,4,0,41.6
Clinic 15,5,0,39.4
Clinic 15,6,0,39.6
Clinic 15,7,0,38.3
Clinic 15,8,0,38
Clinic 15,9,0,35.9
Clinic 15,10,0,33.6
Clinic 15,11,0,37.6
Clinic 15,12,0,43.7
Clinic 15,13,0,39.2
Clinic 15,14,0,38.7
Clinic 15,15,0,41.1
Clinic 15,16,0,45
Clinic 15,17,0,37.6
Clinic 15,18,0,35.2
Clinic 15,19,0,42.3
Clinic 15,20,0,36.5
Clinic 15,21,0,36.1
Clinic 15,22,0,36
Clinic 15,23,0,39.7
Clinic 15,24,0,40.9
Clinic 16,1,0,45.5
Clinic 16,2,0,50.3
Clinic 16,3,0,45.8
Clinic 16,4,0,48.9
Clinic 16,5,0,48
Clinic 16,6,0,46
Clinic 16,7,0,45.9
Clinic 16,8,0,40.7
Clinic 16,9,0,42.1
Clinic 16,10,0,46.6
Clinic 16,11,0,44.1
Clinic 16,12,0,44.9
Clinic 16,13,0,47.1
Clinic 16,14,0,48.5
Clinic 16,15,0,49.4
Clinic 16,16,0,48
Clinic 16,17,0,44.4
Clinic 16,18,0,50.1
Clinic 16,19,0,43.4
Clinic 16,20,0,44.9
Clinic 16,21,0,44.2
Clinic 16,22,0,45.4
Clinic 16,23,0,46.9
Clinic 16,24,0,47.1
Clinic 17,1,0,34.3
Clinic 17,2,0,40.9
Clinic 17,3,0,36.9
Clinic 17,4,0,41.9
Clinic 17,5,0,33.6
Clinic 17,6,0,36.1
Clinic 17,7,0,35.1
Clinic 17,8,0,34.9
Clinic 17,9,0,34.9
Clinic 17,10,0,35.6
Clinic 17,11,0,30.9
Clinic 17,12,0,33.7
Clinic 17,13,0,33.9
Clinic 17,14,0,35.3
Clinic 17,15,0,35
Clinic 17,16,0,40.9
Clinic 17,17,0,37.7
Clinic 17,18,0,31.4
Clinic 17,19,0,38.1
Clinic 17,20,0,34.4
Clinic 17,21,0,30.8
Clinic 17,22,0,35.1
Clinic 17,23,0,36.4
Clinic 17,24,0,33.2
Clinic 18,1,0,35.3
Clinic 18,2,0,43.9
Clinic 18,3,0,44.5
Clinic 18,4,0,40.7
Clinic 18,5,0,43.6
Clinic 18,6,0,44.2
Clinic 18,7,0,35.1
Clinic 18,8,0,33.2
Clinic 18,9,0,38.3
Clinic 18,10,0,39
Clinic 18,11,0,27.4
Clinic 18,12,0,40.6
Clinic 18,13,0,40.8
Clinic 18,14,0,39.6
Clinic 18,15,0,38.3
Clinic 18,16,0,41
Clinic 18,17,0,41.8
Clinic 18,18,0,36.1
Clinic 18,19,0,41.8
Clinic 18,20,0,31.3
Clinic 18,21,0,36.9
Clinic 18,22,0,35.6
Clinic 18,23,0,37.2
Clinic 18,24,0,40.1
Clinic 19,1,0,44.7
Clinic 19,2,0,52
Clinic 19,3,0,54.9
Clinic 19,4,0,52.5
Clinic 19,5,0,51.1
Clinic 19,6,0,47.1
Clinic 19,7,0,47.9
Clinic 19,8,0,43.3
Clinic 19,9,0,43.7
Clinic 19,10,0,43.3
Clinic 19,11,0,45.2
Clinic 19,12,0,44.2
Clinic 19,13,0,48.6
Clinic 19,14,0,53
Clinic 19,15,0,46.8
Clinic 19,16,0,46.8
Clinic 19,17,0,45.4
Clinic 19,18,0,46.6
Clinic 19,19,0,43.2
Clinic 19,20,0,43.8
Clinic 19,21,0,43.9
Clinic 19,22,0,41.5
Clinic 19,23,0,48.7
Clinic 19,24,0,43.3
Clinic 20,1,0,45.6
Clinic 20,2,0,44.7
Clinic 20,3,0,45.2
Clinic 20,4,0,49.5
Clinic 20,5,0,46.2
Clinic 20,6,0,40.6
Clinic 20,7,0,45.2
Clinic 20,8,0,45.4
Clinic 20,9,0,38.5
Clinic 20,10,0,41.5
Clinic 20,11,0,43.1
Clinic 20,12,0,41.8
Clinic 20,13,0,46
Clinic 20,14,0,45.6
Clinic 20,15,0,46.9
Clinic 20,16,0,44.3
Clinic 20,17,0,44.2
Clinic 20,18,0,39.8
Clinic 20,19,0,43.8
Clinic 20,20,0,41.2
Clinic 20,21,0,41.2
Clinic 20,22,0,46.7
Clinic 20,23,0,43.2
Clinic 20,24,0,43.8
