person_id,tenure_years,prior_score,age,remote,enrolled,assessment
P079,5.6,65,35,1,0,87
P080,10.4,94,44,0,0,105
P081,13.3,73,37,0,1,96
P082,2.3,50,44,0,0,78
P083,1.8,75,43,1,0,101
P084,6.9,63,26,0,0,80
P085,2.5,78,46,1,0,85
P086,4.1,89,26,1,0,96
P087,14,81,46,1,1,107
P088,2.2,65,49,1,0,84
P089,10.9,59,29,0,0,94
P090,2.6,78,40,1,0,96
P091,3.5,67,33,0,0,95
P092,4.6,74,33,0,0,97
P093,0.8,65,45,0,0,77
P094,1.9,70,34,0,0,99
P095,11.3,56,39,0,0,91
P096,1.9,86,37,0,0,101
P097,8.4,62,37,0,1,90
P098,2.4,76,53,0,0,96
P099,16.1,88,42,0,0,107
P100,3.4,46,44,1,0,75
P101,4.6,68,40,1,0,100
P102,2.2,78,32,0,0,89
P103,2.7,81,43,0,0,86
P104,0.7,58,25,1,0,89
P105,3.2,74,43,1,0,95
P106,9.3,77,31,0,0,100
P107,1.2,89,52,0,0,92
P108,4.8,69,42,1,0,108
P109,4.3,73,27,0,1,96
P110,23.3,59,34,0,0,90
P111,2,79,44,1,0,91
P112,2.1,72,42,1,1,82
P113,0.6,63,34,0,0,92
P114,13,56,29,0,0,82
P115,2.4,75,43,0,0,89
P116,12.3,82,52,0,0,98
P117,6.7,58,47,0,0,81
P118,3,74,47,1,0,89
P119,2.7,72,39,0,1,94
P120,0.6,66,47,0,0,88
P121,2.8,69,55,1,0,102
P122,13.4,83,48,0,0,102
P123,4.6,46,37,0,0,79
P124,10,82,39,1,1,108
P125,15.2,46,41,0,0,76
P126,4.2,59,47,0,1,94
P127,1.4,73,43,0,0,89
P128,6.2,83,35,1,0,104
P129,1.8,54,48,0,0,79
P130,9.8,86,35,0,1,113
P131,1,83,48,0,0,101
P132,1.5,76,52,0,0,93
P133,1.2,52,44,1,0,95
P134,9.6,54,45,0,0,90
P135,7.7,62,35,1,0,84
P136,0.7,57,37,0,0,74
P137,3.4,57,52,1,0,74
P138,0.7,74,35,0,0,83
P139,5,69,40,0,0,90
P140,3.4,85,51,1,0,92
P141,0.4,79,46,0,0,91
P142,3.1,73,35,0,0,89
P143,7.1,57,41,1,0,80
P144,5,64,42,0,0,94
P145,1.7,63,40,1,0,89
P146,12.6,51,47,1,0,87
P147,6.1,67,29,1,0,84
P148,5,75,44,1,1,94
P149,3.3,89,28,1,1,105
P150,3.8,65,45,1,0,85
P151,8.5,88,49,1,0,96
P152,0.8,108,53,0,0,105
P153,3.8,83,23,1,0,90
P154,0.8,62,37,1,0,90
P155,2.7,55,64,0,0,79
P156,13.8,69,44,1,1,91
P157,12.4,67,21,0,0,84
P158,6,81,32,0,1,104
P159,7.7,59,47,0,0,77
P160,6.4,71,30,0,0,75
P161,7.8,60,43,0,0,90
P162,6.5,87,38,0,0,111
P163,6.1,75,33,1,0,102
P164,1.6,59,50,0,0,88
P165,13.9,60,41,1,0,94
P166,2.3,78,36,0,0,93
P167,6.3,69,50,0,0,94
P168,7.4,57,50,0,0,85
P169,12.7,64,26,0,0,99
P170,6.1,50,36,0,0,88
P171,0.4,77,28,0,0,92
P172,2.4,79,34,1,0,99
P173,3,67,39,0,0,98
P174,5.2,68,32,1,0,84
P175,3.1,65,46,1,0,85
P176,8.4,74,32,0,0,96
P177,5.5,54,42,1,0,91
P178,1,70,47,1,0,101
P179,6.2,71,39,0,1,101
P180,1,78,39,0,0,85
P181,22.7,58,38,1,0,92
P182,14.5,58,43,0,1,95
P183,4.5,84,38,1,0,99
P184,2.2,69,43,0,0,96
P185,3.1,81,44,1,0,90
P186,22,70,47,1,0,109
P187,1,84,39,1,0,103
P188,10,54,45,0,1,95
P189,8.8,82,35,0,0,99
P190,7.3,64,39,1,0,90
P191,3.6,88,39,0,0,105
P192,3.7,64,25,1,0,84
P193,7.9,75,38,1,0,100
P194,1.4,78,45,0,0,91
P195,3.1,80,38,0,1,98
P196,11.4,62,28,1,0,78
P197,4.2,75,43,1,0,99
P198,5.2,69,47,1,0,86
P199,12.2,52,29,0,0,102
P200,2.5,56,37,0,0,86
P201,4.6,68,42,1,0,84
P202,3.1,72,29,1,0,92
P203,8.9,62,46,0,0,104
P204,5.7,72,44,0,1,104
P205,9.3,73,38,0,0,91
P206,11.3,56,49,1,1,87
P207,0.5,59,44,1,0,76
P208,5.5,88,51,0,0,102
P209,8,57,38,0,0,92
P210,2.3,84,40,0,1,107
P211,3.5,73,25,0,0,89
P212,7.1,76,45,1,1,104
P213,5.2,62,33,1,0,99
P214,19,73,33,0,0,98
P215,0.7,79,35,0,0,95
P216,7.8,67,27,0,0,89
P217,1.5,54,46,1,0,74
P218,4.3,48,29,0,0,79
P219,3.1,69,39,0,0,80
P220,0.8,68,52,0,0,89
P221,1.9,58,54,1,0,78
P222,7.3,62,52,0,0,97
P223,4.6,62,53,0,0,82
P224,3.4,65,49,0,0,82
P225,14.9,69,34,0,1,91
P226,1.5,74,38,0,0,89
P227,4.9,71,32,0,0,86
P228,0.6,73,51,1,0,85
P229,5.1,82,44,1,0,95
P230,0.5,60,22,1,0,92
P231,5.2,49,37,0,0,79
P232,25.8,63,32,1,1,104
P233,13.1,67,40,0,0,99
P234,6,78,50,1,0,88
P235,8.8,66,39,0,0,88
P236,7.3,65,36,1,0,100
P237,4.5,73,40,0,0,95
P238,7.4,66,37,0,0,92
P239,1.6,78,52,0,0,94
P240,11.5,71,48,1,1,94
P241,8,65,37,0,0,83
P242,5.3,68,43,1,0,79
P243,3.8,75,37,0,0,88
P244,5,55,43,1,0,84
P245,3.4,63,45,0,0,81
P246,11.1,61,50,0,0,83
P247,8.5,54,55,0,1,87
P248,1.4,84,42,1,0,97
P249,4.6,80,32,1,1,100
P250,5,80,35,0,1,110
P251,13.3,66,48,0,0,93
P252,4.6,88,41,1,0,97
P253,0.8,90,41,1,0,90
P254,11.8,69,44,0,0,91
P255,2,70,47,1,0,90
P256,1.9,43,29,0,0,84
P257,1.6,87,45,0,0,103
P258,7.5,57,40,1,0,75
P259,5,71,54,0,0,91
P260,8.8,53,50,0,0,80
P261,6.3,75,39,1,0,94
P262,8.7,78,51,0,0,95
P263,6.5,59,43,0,0,88
P264,3.2,80,48,1,0,93
P265,2.4,77,42,1,0,102
P266,3.7,62,42,0,0,97
P267,2.6,77,45,1,0,86
P268,6.7,51,49,1,0,77
P269,6.7,76,35,1,0,98
P270,3.2,54,32,0,0,78
P271,9.5,71,48,0,0,96
P272,10.7,90,39,0,0,112
P273,7.3,78,28,0,0,98
P274,5.7,57,34,0,0,92
P275,2.4,59,34,0,0,84
P276,11.8,75,56,1,0,99
P277,2.9,76,44,0,0,94
P278,6.6,73,46,1,0,104
P279,8.2,65,39,1,1,87
P280,6.2,88,47,0,0,112
P281,6.8,80,42,1,0,104
P282,2.9,65,28,0,0,92
P283,1.4,77,38,0,0,90
P284,9.6,60,40,0,0,93
P285,5.1,62,48,0,0,81
P286,6.3,60,39,0,1,89
P287,7,62,56,0,0,78
P288,2.8,66,42,1,0,76
P289,9.8,73,34,0,0,98
P290,7.1,72,42,0,0,88
P291,2.3,79,39,0,0,105
P292,11.5,65,27,1,1,85
P293,1.3,76,49,1,0,94
P294,4.5,83,41,0,1,105
P295,11.9,57,43,1,1,89
P296,5.3,68,24,0,0,95
P297,3.6,82,50,0,1,95
P298,7.4,51,46,0,0,87
P299,5.6,67,29,1,0,86
P300,0.9,61,32,1,0,82
P301,6,73,47,1,0,84
P302,7,76,41,0,0,96
P303,3.5,71,46,0,0,85
P304,14.4,62,27,1,0,90
P305,1.8,69,44,1,0,80
P306,2.5,68,58,1,0,84
P307,1.9,64,23,0,0,88
P308,2.9,49,52,1,0,82
P309,16.7,70,40,1,0,97
P310,1.7,76,55,1,1,95
P311,1.3,55,44,1,0,62
P312,6.8,65,31,0,0,84
P313,8.1,79,24,1,1,103
P314,3,76,39,0,0,93
P315,3.5,65,50,0,0,83
P316,2.4,91,40,0,0,107
P317,0.4,86,33,0,0,95
P318,1.7,71,41,0,0,80
P319,1.3,66,23,0,0,92
P320,1.8,53,28,1,0,87
P321,1,77,35,0,0,74
P322,4.1,71,51,0,0,93
P323,5.4,84,63,0,0,105
P324,7.3,72,54,0,1,88
P325,10.2,76,42,0,1,95
P326,4.1,66,32,1,0,100
P327,7.2,78,28,1,1,101
P328,5.4,54,61,0,0,87
P329,2.8,68,47,1,0,89
P330,4.6,73,47,0,0,92
P331,6.5,44,39,1,0,83
P332,6.5,55,31,0,0,91
P333,2.3,54,39,0,0,75
P334,5.8,70,50,0,0,90
P335,3.6,62,51,1,0,86
P336,4.9,86,44,0,1,110
P337,1.3,71,56,0,0,83
P338,6.5,68,55,1,0,85
P339,0.6,76,34,0,0,100
P340,6.5,45,37,1,0,76
P341,21.1,72,49,0,1,100
P342,0.7,74,21,0,0,101
P343,8.8,74,51,0,0,97
P344,0.7,56,22,0,0,84
P345,4.6,50,50,0,0,81
P346,4.4,67,35,0,0,77
P347,1.3,75,25,0,0,90
P348,2.9,78,48,1,1,105
P349,4.4,68,40,1,0,90
P350,0.9,55,28,0,0,86
P351,4.5,83,41,0,0,93
P352,9.5,58,55,0,0,85
P353,6.2,69,34,0,0,103
P354,0.4,71,45,0,0,93
P355,1.5,57,39,0,0,85
P356,6.4,82,27,0,0,100
P357,9.5,83,30,1,0,103
P358,10.3,72,33,0,0,97
P359,0.5,62,27,0,0,87
P360,7.6,68,66,0,1,92
P361,5.4,70,22,0,0,92
P362,12.5,51,30,1,0,90
P363,3.2,82,42,0,1,94
P364,8.9,89,39,1,0,112
P365,11.9,70,30,0,0,103
P366,6.7,54,29,1,0,85
P367,5.7,74,39,0,0,89
P368,3.4,54,39,0,0,87
P369,6.4,50,46,0,0,80
P370,3.8,65,41,1,1,89
P371,6.7,50,39,0,0,85
P372,5.2,66,47,1,0,92
P373,3.2,93,26,0,0,99
P374,4.7,65,41,0,0,99
P375,3.7,57,49,0,0,86
P376,5.8,73,52,0,0,96
P377,4.9,46,40,1,0,76
P378,2.8,69,47,1,1,91
P379,5.8,80,40,1,0,90
P380,0.3,96,24,0,0,109
P381,14.4,72,47,0,0,92
P382,13,67,43,0,0,84
P383,6,58,48,1,1,86
P384,1,63,41,0,0,89
P385,4,67,46,0,0,92
P386,3.6,65,40,0,1,91
P387,7.1,78,34,0,1,100
P388,11.6,51,46,1,0,95
P389,7,53,52,0,0,78
P390,6.2,68,28,0,0,97
P391,2.7,64,40,1,0,83
P392,6.6,86,40,0,0,104
P393,3.2,57,49,0,0,95
P394,8.1,79,42,1,1,112
P395,1.5,77,34,1,0,90
P396,3,54,52,0,0,82
P397,10.9,52,41,1,0,82
P398,6.9,63,54,0,0,80
P399,3.4,79,37,0,0,98
P400,4.2,71,39,0,0,84
P401,7.2,69,38,0,0,85
P402,4.8,65,41,0,0,85
P403,4.7,78,33,0,0,95
P404,6.6,71,39,1,1,100
P405,7,56,43,0,0,79
P406,4.2,89,48,0,1,109
P407,0.6,62,37,1,1,93
P408,5.9,50,37,0,0,71
P409,3.9,68,39,0,0,84
P410,9.1,71,42,0,0,91
P411,7.6,72,36,0,0,103
P412,3.3,65,41,0,1,93
P413,3,82,42,0,0,101
P414,15.2,82,47,1,0,102
P415,13.3,60,43,0,1,89
P416,15.5,53,41,1,0,98
P417,5.1,72,33,1,0,90
P418,2.4,42,38,0,0,79
P419,6.7,89,36,1,0,104
P420,5,55,42,1,0,86
P421,2.3,61,30,1,0,92
P422,5.1,61,33,0,0,89
P423,9.9,66,43,0,0,93
P424,0.6,47,57,0,0,86
P425,3.6,67,49,0,0,92
P426,8.9,64,20,1,0,91
P427,8.4,57,28,0,0,94
P428,1.5,84,53,1,0,96
P429,5.6,69,22,1,1,97
P430,9.7,66,41,0,0,89
P431,5.1,62,36,0,0,78
P432,0.9,69,37,1,0,88
P433,4.9,73,52,0,0,89
P434,4.6,74,50,1,0,86
P435,4.8,68,22,0,1,86
P436,13.5,76,39,0,1,101
P437,4.1,72,42,0,0,85
P438,8.5,62,42,1,0,95
P439,3.4,68,46,0,0,89
P440,8,79,48,0,1,97
P441,5,74,55,0,0,98
P442,5.3,73,39,1,0,99
P443,2,65,41,0,0,88
P444,14.3,82,28,0,0,120
P445,9,80,38,0,0,106
P446,7.4,81,48,0,0,87
P447,8.1,68,46,0,0,98
P448,5.1,79,46,0,0,93
P449,4.4,60,39,0,0,98
P450,11.4,48,51,0,0,82
P451,6.5,65,44,0,1,98
P452,15,58,31,0,0,78
P453,8,65,23,0,1,91
P454,10.1,62,33,1,1,91
P455,8.3,71,52,0,0,90
P456,0.8,53,39,0,0,73
P457,1.7,74,38,0,0,89
P458,2.7,72,49,0,0,88
P459,8.1,70,37,0,1,97
P460,4.6,98,36,1,0,113
P461,10.1,65,35,1,0,97
P462,22.7,72,31,0,1,113
P463,3.7,54,54,1,0,71
P464,4,72,54,0,0,89
P465,9.1,70,51,0,1,93
P466,7.6,54,40,1,1,85
P467,6.3,52,37,0,0,82
P468,2.8,47,34,1,0,68
P469,4.3,68,61,1,0,87
P470,2.1,93,29,0,1,111
P471,1.1,44,43,1,0,72
P472,5,39,52,0,0,69
P473,8.1,56,32,1,1,89
P474,7.4,76,32,0,0,88
P475,2.9,68,37,0,0,88
P476,9,74,28,0,0,89
P477,6.8,76,52,0,0,93
P478,2.5,66,24,1,0,92
P479,1.6,64,40,1,0,89
P480,3.3,86,36,0,0,96
P481,4.3,98,42,0,0,100
P482,4.8,63,48,0,0,93
P483,9.5,72,35,1,0,95
P484,10.9,92,29,0,0,104
P485,6.3,71,34,0,0,90
P486,8.1,61,43,0,0,93
P487,10.4,72,54,0,0,82
P488,7,57,49,0,0,84
P489,2.6,70,30,0,0,91
P490,8.2,74,44,0,0,89
P491,3.3,60,36,1,0,90
P492,4.7,85,50,0,0,101
P493,2.4,75,48,0,0,97
P494,15,84,39,0,0,103
P495,3.6,53,31,0,0,75
P496,16.4,71,43,1,0,105
P497,1.8,53,33,1,0,74
P498,10.6,80,30,0,0,106
P499,7.8,53,47,1,0,75
P500,1.2,87,33,0,0,91
P501,5.1,76,51,1,0,85
P502,0.5,91,46,0,0,101
P503,2.6,71,46,1,0,85
P504,3.9,92,50,1,1,114
P505,0.9,67,43,0,0,93
P506,6.1,64,44,0,0,88
P507,5,64,41,1,0,92
P508,5,68,42,0,1,92
P509,2.4,79,25,0,0,104
P510,10.2,62,51,0,0,83
P511,5,65,42,0,0,81
P512,5.9,59,38,1,1,85
P513,2.4,64,47,1,0,84
P514,10.7,55,56,1,0,82
P515,9.7,86,51,1,0,102
P516,3.8,65,49,0,0,77
P517,3.4,65,42,0,0,96
P518,5.8,75,49,0,0,94
P519,7.3,74,43,0,0,97
P520,4,82,40,0,1,104
P521,4.5,58,48,0,0,84
P522,12.9,68,26,0,0,82
P523,18.3,79,34,0,1,104
P524,17.8,68,53,0,1,89
P525,11.8,83,30,0,1,101
P526,2.6,86,34,0,0,87
P527,2.8,73,33,1,0,86
P528,8.3,51,33,1,0,85
P529,4.6,63,41,0,0,84
P530,0.5,73,43,0,0,94
P531,5.2,49,31,1,0,79
P532,7.8,53,40,1,0,78
P533,6.6,72,39,1,0,92
P534,7.3,59,52,0,1,90
P535,2.8,69,33,0,1,100
P536,7.4,49,44,0,0,70
P537,5.3,53,48,1,0,87
P538,3.3,74,36,0,0,85
P539,7.5,73,36,1,1,103
P540,16.7,55,47,0,0,82
P541,4.1,57,33,0,0,77
P542,3.6,82,31,1,0,107
P543,5.5,64,50,0,0,82
P544,10.7,68,34,1,1,100
P545,1.7,51,33,0,0,79
P546,1.6,92,46,0,0,91
P547,6,69,38,0,0,84
P548,5.4,59,34,1,0,80
P549,8.4,84,43,1,1,101
P550,6.3,59,53,0,0,71
P551,14.8,74,33,0,0,100
P552,3.2,75,28,0,0,87
P553,9.1,68,37,1,0,98
P554,1.9,65,43,1,0,91
P555,12.2,70,29,0,1,94
P556,4.7,76,45,0,0,94
P557,3.7,77,46,0,0,96
P558,9.8,80,37,0,0,88
P559,1.4,74,32,0,0,94
P560,2.2,52,35,0,0,76
P561,4.8,49,44,0,0,82
P562,9.1,62,24,0,0,83
P563,9.2,81,32,0,0,107
P564,3.2,70,31,0,0,101
P565,2.8,68,37,1,0,97
P566,8.1,85,45,0,0,102
P567,1.1,68,34,0,0,82
P568,6.2,71,27,0,1,100
P569,1,62,32,0,0,88
P570,3.8,84,42,1,0,103
P571,5.4,79,37,0,0,94
P572,3.6,61,62,1,0,88
P573,8,71,35,0,0,90
P574,3.2,60,29,0,0,88
P575,5.4,53,48,0,0,94
P576,2.2,81,36,0,1,102
P577,8.3,71,40,0,0,89
P578,3.5,41,45,0,0,75
P579,3.6,52,52,1,0,76
P580,10.6,60,41,0,0,93
P581,4.2,59,40,0,0,91
P582,10.2,60,31,0,1,85
P583,9.6,59,29,0,0,84
P584,1,67,44,0,0,82
P585,5.9,75,36,1,0,82
P586,6.2,72,38,1,0,91
P587,10.6,77,43,0,0,92
P588,2.7,64,48,1,0,77
P589,6.7,59,42,0,0,72
P590,9.3,63,22,0,0,88
P591,9.4,79,33,1,0,91
P592,3.5,62,49,1,0,90
P593,4.5,65,53,0,0,92
P594,6.5,63,35,0,0,82
P595,2.5,81,35,0,1,104
P596,2.6,83,50,1,1,112
P597,6.9,51,58,0,0,80
P598,1.1,79,28,0,0,93
P599,5.6,76,39,0,0,100
P600,5.8,64,31,1,1,94
P601,6.6,78,37,0,1,87
P602,4.1,78,28,1,0,99
P603,4.4,76,49,0,0,99
P604,4.9,69,23,0,0,99
P605,7.4,66,38,1,0,83
P606,6.3,73,37,1,0,95
P607,2,80,49,0,0,89
P608,3.3,63,28,1,1,95
P609,7.5,71,49,0,0,94
P610,11.1,59,53,0,0,94
P611,13.2,71,30,0,0,99
P612,14.5,66,42,1,0,94
P613,9.8,54,30,1,0,95
P614,4.6,52,39,0,0,79
P615,6.6,75,34,0,1,92
P616,6.9,73,22,0,1,89
P617,2.5,67,49,1,0,102
P618,3.8,52,22,1,0,73
P619,3.4,78,42,0,0,99
P620,7.4,48,31,0,1,87
P621,4.4,63,41,0,0,90
P622,21.6,58,36,0,1,95
P623,2.1,52,27,1,0,88
P624,10.8,78,33,1,0,92
P625,13.1,77,39,0,1,105
P626,31.9,67,45,0,0,101
P627,2.3,88,35,0,0,99
P628,10,69,29,0,0,91
P629,10.7,54,53,0,0,89
P630,9.2,70,48,1,0,90
P631,8,73,41,0,0,91
P632,4,75,41,0,0,93
P633,1.4,58,50,0,0,86
P634,0.7,78,48,0,1,96
P635,9.1,63,32,0,0,77
P636,1.6,67,69,0,0,72
P637,13.1,76,34,1,0,92
P638,2.4,56,30,1,1,79
P639,2.1,66,42,0,0,98
P640,3.3,76,37,0,0,78
P641,10.7,103,29,0,0,108
P642,10.9,59,45,0,0,78
P643,6.6,54,36,0,0,92
P644,4.6,43,23,0,0,67
P645,3.9,65,23,0,0,91
P646,0.7,69,57,1,0,76
P647,3.3,76,46,0,0,99
P648,2.1,59,29,1,0,81
P649,3.2,78,22,0,0,101
P650,7.2,71,32,1,1,98
P651,8.6,69,33,0,1,95
P652,6.4,72,52,0,1,97
P653,9.4,54,40,0,0,83
P654,6.4,53,45,0,1,89
P655,7.9,61,39,0,0,90
P656,18.6,65,38,0,0,98
P657,9.9,79,22,0,0,95
P658,5.5,77,40,1,1,105
P659,4.3,86,32,0,0,90
P660,3.8,83,32,0,1,103
P661,1.1,54,28,0,0,79
P662,2.3,77,44,0,0,90
P663,3,93,29,0,0,91
P664,2.9,50,49,1,0,79
P665,10.5,76,37,0,1,100
P666,9.2,83,32,0,0,97
P667,1.7,47,36,0,0,80
P668,1.5,71,33,1,0,90
P669,8.1,50,26,0,0,65
P670,6.5,75,27,0,0,88
P671,22.4,53,49,1,0,100
P672,7,63,29,1,0,92
P673,5.1,66,29,0,0,85
P674,14.1,67,37,1,0,89
P675,2.1,76,29,1,0,97
P676,14.6,49,36,1,1,90
P677,2.8,69,51,1,0,75
P678,3.3,59,37,0,0,85
P679,6.6,82,41,1,0,106
P680,5.1,54,53,0,0,72
P681,2.4,81,34,0,1,98
P682,4.7,58,37,1,0,79
P683,8.7,61,28,0,0,85
P684,16.8,83,49,0,1,104
P685,9.9,68,36,0,0,88
P686,3.1,87,50,0,0,107
P687,10.2,65,48,1,0,84
P688,2.7,70,38,0,0,80
P689,7.8,65,27,0,0,94
P690,7.5,79,24,0,0,93
P691,4.6,55,42,0,0,86
P692,3,77,34,1,0,93
P693,7.2,87,55,0,0,91
P694,11.5,62,54,0,0,86
P695,7.9,52,40,1,0,87
P696,3.1,88,34,1,1,102
P697,1.1,67,40,0,0,85
P698,1.1,65,29,1,0,92
P699,5.9,47,34,0,0,70
P700,5.5,63,55,1,0,86
